Day of Date Cancelled,Order ID,Order Link,Products Name,Category,Marketplace,Site,Username
"May 6, 2023",997504928,https://all.worldfront.co/axis/orders.php?action=edit&oID=997504928,"4 Pieces Canning Kit-2 Pieces Magnetic Lid Lifter Canning Lid Lifter Kit,Magnetic Jar Lid Lifter Supplies (18cm ), 2 Pieces Canning Bubble Popper Bubble Remover Canning Tools (Green)",Kitchen,Trade Me,World,*
"May 5, 2023",56008103,https://all.worldfront.co/axis/orders.php?action=edit&oID=56008103,Honeywell 1 Week Programmable Thermostat Rth221b,Homeware,Fishpond NZ,NZ,*
"May 5, 2023",785207430,https://all.worldfront.co/axis/orders.php?action=edit&oID=785207430,GROHE 28796000 Relexa Hand Shower Five,Homeware,Fishpond AU,AU,*
"May 5, 2023",965854623,https://all.worldfront.co/axis/orders.php?action=edit&oID=965854623,"Emourstm Aquarium Sinkable Driftwood Fish Tank Decoration ,small New",Pets,Trade Me,World,*
"May 5, 2023",989868812,https://all.worldfront.co/axis/orders.php?action=edit&oID=989868812,Probiotic Miracle Dog Probiotics for Dogs (up to 360 Servings),Pets,Amazon AU2,World,*
"May 4, 2023",54669696,https://all.worldfront.co/axis/orders.php?action=edit&oID=54669696,"Trop Teaser Tiki Hut Bird Toy Prevue Pet Products, Inc",Pets,Fishpond NZ,NZ,*
"May 4, 2023",710050976,https://all.worldfront.co/axis/orders.php?action=edit&oID=710050976,PRIMA Celiac Disease Home Test for IGA and IgG Antibodies | Results in 10 Minutes,Health,Fishpond AU,AU,*
"May 4, 2023",710291586,https://all.worldfront.co/axis/orders.php?action=edit&oID=710291586,HG Floor Glue Remover Extra Strong,Homeware,Fishpond AU,AU,*
"May 4, 2023",909745779,https://all.worldfront.co/axis/orders.php?action=edit&oID=909745779,"Roc Retinol Correxion Eye Cream, 0.5 oz",Beauty,Amazon AU2,World,*
"May 4, 2023",952746385,https://all.worldfront.co/axis/orders.php?action=edit&oID=952746385,"Salter EK2009 Marble Collection Health Grill, Panini Grill and Sandwich Press, Stainless Steel 750W",Kitchen,Catch LHR,World,*
"May 4, 2023",977554612,https://all.worldfront.co/axis/orders.php?action=edit&oID=977554612,"Conair Double Ceramic 3-in-1 Hot Air Brush, Dry as You Style",Beauty,Amazon AU2,World,*
"May 4, 2023",981183641,https://all.worldfront.co/axis/orders.php?action=edit&oID=981183641,"Harris Bed Bug and Egg Killer, 16oz Aerosol Spray",Homeware,Amazon SA1,World,*
