"Date Purchased","Promise Date","Shipped Date","Delivery Date","Order ID","Order Item ID",Barcode,Qty,Category,Country,Channel,Supplier,Total,"Total USD","Priced At supplier","Order Status","Item Status","Handover to Carrier"
"30/07/2022 17:53:32",31/08/2022,,,96694452,7538194,0843930033157,1,Music,"United States","Amazon US1 [45]",,"41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Canceled,Processing,
"30/07/2022 17:26:00",31/08/2022,05/09/2022,,91119337,7538116,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW WorldFront Stock LHR [777]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,07/09/2022
"30/07/2022 17:26:00",31/08/2022,05/09/2022,,91119337,7538116,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW WorldFront Stock LHR [777]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,07/09/2022
"30/07/2022 17:25:57",31/08/2022,23/08/2022,,98624365,7538114,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 16:53:01",31/08/2022,23/08/2022,,98143411,7538030,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW WorldFront Stock LHR [777]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 14:25:54",31/08/2022,23/08/2022,,97090963,7537637,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 14:15:12",31/08/2022,23/08/2022,,90297865,7537607,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 14:11:01",31/08/2022,23/08/2022,,91611776,7537602,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 14:10:56",31/08/2022,23/08/2022,,99612735,7537599,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 14:10:46",31/08/2022,23/08/2022,,96106635,7537591,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,23/08/2022
"30/07/2022 14:10:45",31/08/2022,16/09/2022,,93492939,7703233,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,16/09/2022
"30/07/2022 14:10:45",31/08/2022,07/09/2022,,93492939,7537589,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,07/09/2022
"30/07/2022 14:10:38",31/08/2022,23/08/2022,,90575420,7537585,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,23/08/2022
"30/07/2022 13:59:36",31/08/2022,23/08/2022,,96401463,7537560,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,23/08/2022
"30/07/2022 13:59:25",31/08/2022,23/08/2022,,97685072,7537554,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,23/08/2022
"30/07/2022 13:48:23",31/08/2022,23/08/2022,,98936753,7537522,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW Amazon Music [1956]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,23/08/2022
"30/07/2022 13:48:01",03/09/2022,29/08/2022,12/09/2022,99829673,7537512,5014475014894,1,Toys,"United States","Amazon US1 [45]","FRL WorldFront Stock - SYD [666]","31.83 USD",31.83,"FRL Jasnor [1607]",Shipped,Shipped,06/09/2022
"30/07/2022 12:27:28",13/09/2022,17/08/2022,,97182078,7537302,0602498421789,1,Music,"United States","Amazon US1 [45]","FPW Rarewaves [1537]","11.54 USD",11.54,"FPW Rarewaves [1537]",Shipped,Shipped,17/08/2022
"30/07/2022 07:37:23",03/09/2022,01/09/2022,20/09/2022,92826028,7536436,9781421590523,1,Books,"United States","Amazon US1 [45]","WFL Harper NZ [12]","206.00 USD",206.00,"WFL Harper NZ [12]",Shipped,Shipped,02/09/2022
"30/07/2022 03:22:07",02/09/2022,31/08/2022,,92115863,7535600,0888751519015,1,Music,"United States","Amazon US1 [45]","FPW In and Out Distribution LLT [2137]","39.51 USD",39.51,"FPW Sony Music [2107]",Shipped,Shipped,07/09/2022
"29/07/2022 14:26:51",02/09/2022,27/08/2022,19/09/2022,98454502,7533962,9781421590523,1,Books,"United States","Amazon US1 [45]","FRL Harper AU [142]","206.00 USD",206.00,"WFL Harper NZ [12]",Shipped,Shipped,29/08/2022
"29/07/2022 07:55:31",30/08/2022,01/08/2022,19/08/2022,95648730,7532768,9781784943738,1,Books,"United States","Amazon US1 [45]","WFL WorldFront Stock - AKL [999]","22.29 USD",22.29,"WFL David Bateman [6]",Shipped,Shipped,05/08/2022
"28/07/2022 13:47:28",09/09/2022,12/08/2022,,92910271,7530130,9351384966811,1,Music,"United States","Amazon US1 [45]","WFL Southbound [1026]","31.51 USD",31.51,"FPW Proper Music Group [2082]",Shipped,Shipped,19/08/2022
"28/07/2022 03:55:16",31/08/2022,08/08/2022,,98677271,7528221,9780553505924,1,Books,"United States","Amazon US1 [45]","FPW Penguin [1301]","15.92 USD",15.92,"FPW Penguin [1301]",Shipped,Shipped,02/09/2022
